Iteration;car;freight_i;freight_n
0;7200;1800;0
1;7200;0;1800
2;7200;1710;90
3;7200;1620;180
4;7200;1710;90
5;7200;1800;0
6;7200;1440;360
7;7200;1620;180
8;7200;1530;270
9;7200;1800;0
10;7200;1620;180
